ecoid	ecoregion	country1	country2	regionid	region	pixels	hits
60169	"Pantepui"	"Venezuela"	"Venezuela"	9	"Brazil Western Amazon"	219298	60
60170	"Tocantins/Pindare moist forests"	"Brazil"	"Brazil"	40	"Tocantins/Pindare moist forests"	519735	39315
60171	"Trinidad and Tobago moist forests"	"Trinidad and Tobago"	"Trinidad and Tobago"	11	"Central America and Caribbean"	13658	135
60173	"Uatuma-Trombetas moist forests"	"Brazil"	"Brazil"	8	"Brazil Eastern Amazon"	2027836	3717
60174	"Ucayali moist forests"	"Peru"	"Peru"	26	"Other Andean South America"	470812	1256
60175	"Venezuelan Andes montane forests"	"Venezuela"	"Venezuela"	14	"Colombia"	67487	170
60176	"Veracruz moist forests"	"Mexico"	"Mexico"	11	"Central America and Caribbean"	62735	0
60177	"Veracruz montane forests"	"Mexico"	"Mexico"	11	"Central America and Caribbean"	14087	0
60178	"Western Ecuador moist forests"	"Ecuador"	"Ecuador"	26	"Other Andean South America"	38754	737
60179	"Windward Islands moist forests"	"Martinique"	"Martinique"	11	"Central America and Caribbean"	4021	9
60180	"Xingu-Tocantins-Araguaia moist forests"	"Brazil"	"Brazil"	42	"Xingu-Tocantins-Araguaia moist forests"	980035	71177
60181	"Yucatﬂn moist forests"	"Mexico"	"Mexico"	11	"Central America and Caribbean"	284047	1530
60182	"Guianan piedmont and lowland moist forests"	"Venezuela"	"Venezuela"	9	"Brazil Western Amazon"	992431	3707
80101	"Guizhou Plateau broadleaf and mixed forests"	"China"	"China"	41	"West SE Asia"	423828	3
80102	"Yunnan Plateau subtropical evergreen forests"	"China"	"China"	41	"West SE Asia"	471981	388
